species	Name	Formula	Mass	N_atoms	Charge	Detected	pwd_xyz	In_Network	Spin	Energy	ZPE
Fe+	Ironcation	Fe1+	55.845	1	1	False	pwd	True	0		
Fe	Ironatom	Fe1	55.845	1	0	False	pwd	True	0		
H2+	Hydrogencation	H2+	2.01568	2	1	False	./species/H2+_2.xyz	True	2	-0.60198461	0.00477
H2	Molecularhydrogen	H2	2.01568	2	0	True	./species/H2_1Sigma.xyz	True	1	-1.1726257379	0.010175
HeH+	Heliumhydridecation	H1He1+	5.010441999999999	2	1	False	./species/HeH+_1.xyz	True	1	-2.97531725	0.007568
LiH		H1Li1	7.948	2	0	False	./species/LiH_1Sigma.xyz	False	1	-8.0231419502	0.003267
CH+	Methylidynecation	H1C1+	13.01854	2	1	True	./species/CH+_1c.xyz	True	1	-38.02452394	0.006634
CH	Methylidyne	H1C1	13.01854	2	0	True	./species/CH_2Pi.xyz	True	2	-38.412785056	0.00654
NH+	Imidogencation	H1N1+	15.01454	2	1	False	./species/NH+_2.xyz	True	2	-54.65160645	0.006977
NH	Imidogen	H1N1	15.01454	2	0	True	./species/NH_3Sigma.xyz	True	3	-55.14504448	0.007549
OH+	Hydroxylcation	H1O1+	17.00684	2	1	True	./species/OH+_3.xyz	True	3	-75.17135197	0.007198
OH	Hydroxylradical	H1O1	17.00684	2	0	True	./species/OH_2Pi.xyz	True	2	-75.64555112	0.0086
OH-	Hydroxylanion	H1O1-	17.00684	2	-1	False	./species/OH-_1.xyz	True	1	-75.709423054	0.008409
HF+	Hydrogenfluoride,positiveion	H1F1+	20.006243	2	1	False	./species/HF+_2.xyz	True	2	-99.76165361	0.006967
HF	Hydrogenfluoride	H1F1	20.006243	2	0	True	./species/HF_1Sigma.xyz	True	1	-100.3495705	0.009517
NaH	Sodiumhydride	H1Na1	23.99761	2	0	False	./species/NaH_1Sigma.xyz	True	1	-162.42830166	0.002737
C2+	Carbondiatomiccation	C2+	24.0214	2	1	False	./species/C2+_4.xyz	True	4	-75.35536756	0.003156
C2	Dicarbon	C2	24.0214	2	0	True	./species/C2_1Sigma.xyz	True	1	-75.786325123	0.004348
MgH	Magnesiummonohydride	H1Mg1	25.31284	2	0	False	./species/MgH_2Sigma.xyz	True	2	-200.1981072	0.003384
CN+	Cyanogencation	C1N1+	26.0174	2	1	False	./species/CN+_1c.xyz	True	1	-92.0677838	0.004814
CN	Cyanoradical	C1N1	26.0174	2	0	True	./species/CN_2Sigma.xyz	True	2	-92.571492101	0.005108
CN-	Cyanideanion	C1N1-	26.0174	2	-1	False	./species/CN-_1.xyz	True	1	-92.712494843	0.005003
CO+	carbon?monoxidecation	C1O1+	28.0097	2	1	True	./species/CO+_2.xyz	True	2	-112.64920508	0.005448
CO	Carbonmonoxide	C1O1	28.0097	2	0	True	./species/CO_1Sigma.xyz	True	1	-113.16175426	0.005183
N2+	Nitrogencation	N2+	28.0134	2	1	False	./species/N2+_2.xyz	True	2	-108.81001895	0.005482
N2	Molecularnitrogen	N2	28.0134	2	0	True	./species/N2_1Sigma.xyz	True	1	-109.38004505	0.005753
SiH+	Silylidynecation	H1Si1+	29.09334	2	1	False	./species/SiH+_1.xyz	True	1	-289.25863724	0.005009
SiH	Silylidyne	H1Si1	29.09334	2	0	True	./species/SiH_2Pi.xyz	True	2	-289.54815271	0.004766
NO+	Nitrogenoxidecation	N1O1+	30.0057	2	1	True	./species/NO+_1.xyz	True	1	-129.38821756	0.005894
NO	Nitricoxide	N1O1	30.0057	2	0	True	./species/NO_2Pi.xyz	True	2	-129.72566494	0.004726
CF+	Fluoromethylidynecation	C1F1+	31.009103000000003	2	1	True	./species/CF+_1.xyz	True	1	-137.28172706	0.004203
